Fname,Lname,Position,team,GP,G,A,P,PPG,PIM,Success,season,Standing
Eric,Niskanen,1,Blues U16,21,4,3,7,0.33,47,0,2008-2009,1.0
Miko,Leivo,0,Jokerit U16,21,2,5,7,0.33,6,0,2008-2009,2.0
Ville,Frantsi,1,Blues U16,25,2,5,7,0.28,20,0,2008-2009,1.0
Roope,Karjalainen,1,Blues U16,22,2,3,5,0.23,8,0,2008-2009,1.0
Mikko,Partanen,0,Jokerit U16,25,2,3,5,0.20,6,0,2008-2009,2.0
Samu,Kilpimaa,0,Blues U16,25,1,4,5,0.20,4,0,2008-2009,1.0
Juuso,Lindholm,1,Blues U16,8,2,1,3,0.38,0,0,2008-2009,1.0
Janne,Näppä,1,Jokerit U16,8,2,1,3,0.38,0,0,2008-2009,2.0
Tomi,Sjöblom,1,Jokerit U16,19,0,3,3,0.16,4,0,2008-2009,2.0
Henri,Stenberg,1,Jokerit U16,20,1,0,1,0.05,8,0,2008-2009,2.0
Teemu,Luotonen,0,Jokerit U16,14,0,1,1,0.07,0,0,2008-2009,2.0
Jami,Jokela,0,Blues U16,21,0,1,1,0.05,4,0,2008-2009,1.0
Aleksi,Järvi,0,Blues U16,0,0,0,0,0.00,0,0,2008-2009,1.0
Roope,Honkonen,1,Jokerit U16,0,0,0,0,0.00,0,0,2008-2009,2.0
Mergim,Madjuni,1,Blues U16,3,0,0,0,0.00,2,0,2008-2009,1.0
Ville,Iissalo,1,Jokerit U16,10,0,0,0,0.00,4,0,2008-2009,2.0
Jani,Martikainen,0,Blues U16,20,0,0,0,0.00,8,0,2008-2009,1.0
Thomas,Nykopp,1,Jokerit U16,25,25,27,52,2.08,12,1,2008-2009,2.0
Markus,Hännikäinen,1,Jokerit U16,22,10,21,31,1.41,6,1,2008-2009,2.0
Teemu,Henritius,1,Jokerit U16,26,11,15,26,1.00,10,1,2008-2009,2.0
Niklas,Tikkinen,0,Blues U16,24,10,13,23,0.96,14,1,2008-2009,1.0
Nico,Nyberg,1,Blues U16,23,7,15,22,0.96,20,1,2008-2009,1.0
Alexander,Ruuttu,1,Jokerit U16,23,11,9,20,0.87,8,1,2008-2009,2.0
Robert,Rooba,1,Blues U16,25,9,11,20,0.80,30,1,2008-2009,1.0
Henri,Tamminen,1,Blues U16,24,9,10,19,0.79,26,1,2008-2009,1.0
Juha,Tarkkanen,0,Blues U16,26,5,10,15,0.58,26,1,2008-2009,1.0
Nico,Friman,1,Jokerit U16,20,5,9,14,0.70,66,1,2008-2009,2.0
Joonas,Valkonen,0,Jokerit U16,17,5,6,11,0.65,40,1,2008-2009,2.0
Joona,Kunnas,0,Jokerit U16,23,2,4,6,0.26,12,1,2008-2009,2.0
Jere,Seppälä,0,Blues U16,22,3,1,4,0.18,28,1,2008-2009,1.0
Esa,Lindell,0,Jokerit U16,8,0,3,3,0.38,2,1,2008-2009,2.0
Eero,Riikonen,1,Jokerit U16,0,0,0,0,0.00,0,1,2008-2009,2.0
Santeri,Saari,0,Jokerit U16,0,0,0,0,0.00,0,1,2008-2009,2.0
Jere,Sneck,0,Jokerit U16,6,0,0,0,0.00,4,1,2008-2009,2.0
Ville,Koskela,1,HIFK U16,27,40,36,76,2.82,40,0,2009-2010,1.0
Mikko,Tauriainen,1,Kärpät U16,27,18,38,56,2.07,22,0,2009-2010,6.0
Jesse,Kaskinen,1,HIFK U16,22,13,32,45,2.05,31,0,2009-2010,1.0
Waltteri,Selimgerei,1,Tappara U16,23,15,25,40,1.74,20,0,2009-2010,2.0
Ismo,Nikkinen,1,HPK U16,20,27,11,38,1.90,65,0,2009-2010,10.0
Jesse,Kela,1,Blues U16,25,22,15,37,1.48,45,0,2009-2010,5.0
Lassi,Niemenmaa,1,Tappara U16,26,13,22,35,1.35,42,0,2009-2010,2.0
Viljami,Wacklin,1,HIFK U16,27,11,24,35,1.30,8,0,2009-2010,1.0
Atte,Kööpikkä,1,Tappara U16,26,18,13,31,1.19,52,0,2009-2010,2.0
Juho,Vanhala,1,Ässät U16,25,20,10,30,1.20,22,0,2009-2010,7.0
Taneli,Pietarila,1,Kärpät U16,25,20,9,29,1.16,12,0,2009-2010,6.0
Roope,Honkonen,1,Jokerit U16,22,15,12,27,1.23,18,0,2009-2010,3.0
Teemu,Jalovaara,1,Jokerit U16,27,14,13,27,1.00,12,0,2009-2010,3.0
Mikko,Aho,1,Ässät U16,21,15,11,26,1.24,65,0,2009-2010,7.0
Valtteri,Heikkilä,1,HPK U16,21,13,12,25,1.19,22,0,2009-2010,10.0
Sami,Laine,1,HPK U16,25,11,14,25,1.00,20,0,2009-2010,10.0
Mikko,Seppänen,1,HIFK U16,27,8,17,25,0.93,48,0,2009-2010,1.0
Markus,Järvelä,1,HIFK U16,27,19,5,24,0.89,14,0,2009-2010,1.0
Niklas,Lehtimäki,1,Ässät U16,22,10,14,24,1.09,30,0,2009-2010,7.0
Teemu,Möttönen,1,Kiekko-Vantaa U16,27,15,8,23,0.85,16,0,2009-2010,12.0
Joni,Pekkala,1,HPK U16,26,13,10,23,0.89,83,0,2009-2010,10.0
Vilho,Virmavirta,0,Tappara U16,27,8,15,23,0.85,10,0,2009-2010,2.0
Joona,Huunanmaa,1,Ässät U16,24,6,17,23,0.96,28,0,2009-2010,7.0
Saku,Piha,1,HIFK U16,21,14,8,22,1.05,2,0,2009-2010,1.0
Olli,Määttä,0,JYP U16,21,9,13,22,1.05,20,0,2009-2010,8.0
Santeri,Nieminen,1,Lukko U16,27,7,15,22,0.82,44,0,2009-2010,14.0
Miki,Rauha,1,HIFK U16,26,7,14,21,0.81,10,0,2009-2010,1.0
Teemu,Väisänen,1,Kiekko-Vantaa U16,27,5,16,21,0.78,22,0,2009-2010,12.0
Jani,Nukki,1,TPS U16,24,12,8,20,0.83,26,0,2009-2010,4.0
Jaakko,Rajala,0,HIFK U16,25,4,16,20,0.80,36,0,2009-2010,1.0
Seppo,Kaasalainen,1,Ilves U16,27,3,17,20,0.74,6,0,2009-2010,11.0
Joonas,Lintulaakso,1,Ilves U16,27,13,6,19,0.70,20,0,2009-2010,11.0
Aleksi,Mustaniemi,0,Blues U16,26,10,9,19,0.73,30,0,2009-2010,5.0
Jani,Karelius,1,TPS U16,27,8,11,19,0.70,8,0,2009-2010,4.0
Niklas,Nurminen,1,Kiekko-Vantaa U16,25,7,12,19,0.76,20,0,2009-2010,12.0
Eetu,Patronen,1,KalPa U16,27,7,12,19,0.70,32,0,2009-2010,9.0
Joni,Välisalmi,1,Lukko U16,26,12,6,18,0.69,20,0,2009-2010,14.0
Tuomas,Koskinen,1,Ilves U16,24,10,8,18,0.75,40,0,2009-2010,11.0
Teemu,Toriseva,0,Ilves U16,24,9,9,18,0.75,28,0,2009-2010,11.0
Oscar,Hämäläinen,1,Ässät U16,20,7,11,18,0.90,6,0,2009-2010,7.0
Jere,Lehtonen,1,Ässät U16,25,12,4,16,0.64,8,0,2009-2010,7.0
Jyri,Laasonen,1,Jokipojat U16,27,9,7,16,0.59,22,0,2009-2010,13.0
Roope,Niskanen,1,Ilves U16,26,8,8,16,0.62,18,0,2009-2010,11.0
Teemu,Mielonen,1,Kiekko-Vantaa U16,27,8,8,16,0.59,44,0,2009-2010,12.0
Leevi,Niemenmaa,0,Tappara U16,19,6,10,16,0.84,39,0,2009-2010,2.0
Eemeli,Skantz,1,Kiekko-Vantaa U16,24,6,10,16,0.67,14,0,2009-2010,12.0
Riku,Juvonen,1,Jokerit U16,19,5,11,16,0.84,20,0,2009-2010,3.0
Janne,Pollari,1,JYP U16,27,13,2,15,0.56,22,0,2009-2010,8.0
Teemu,Nieminen,1,Kiekko-Vantaa U16,27,9,6,15,0.56,20,0,2009-2010,12.0
Teemu,Satomaa,1,Kärpät U16,25,7,8,15,0.60,34,0,2009-2010,6.0
Jesse,Röntynen,0,KalPa U16,27,7,8,15,0.56,10,0,2009-2010,9.0
Olli,Lähdeniemi,1,Ilves U16,25,6,9,15,0.60,18,0,2009-2010,11.0
Tony,Ojala,1,HIFK U16,25,5,10,15,0.60,72,0,2009-2010,1.0
Miku,Nenonen,1,HIFK U16,24,10,4,14,0.58,8,0,2009-2010,1.0
Iiro,Raitanen,1,Lukko U16,26,8,6,14,0.54,12,0,2009-2010,14.0
Kari,Gustsin,1,Jokerit U16,19,7,7,14,0.74,4,0,2009-2010,3.0
